description,category
daily essENtialSPay,Groceries
broAdbAnd wiFi bill,Bills
flightticKet,Travel
GamePuRcHase,Entertainment
sentMonEy,Transfer
cAbPaymentStorE,Travel
WifiPayment,Bills
LEnsKarT,Health
GolDgym,Health
gas cylinder booking,Bills
WIFIPaymEnt,Bills
SentMoney,Transfer
online course payment,Education
onliNe coUrse payment,Education
SipPAyment,Investment
fd deposit bankPvt,Investment
diagnostic labMart,Health
ChaiPoINTStorE,Food
dEntalClInic,Health
VegetablEvendOr,Groceries
SteampaymEnt,Entertainment
recEivEdMOney,Transfer
HOTelSaravANa,Food
MeSsPayMEnT,Food
GasBill,Bills
muTualFund,Investment
PAthologyLab,Health
ClothesSHOp,Shopping
fd dEPosit bAnk,Investment
Autorickshaw,Travel
PaRkinGFEe,Travel
mobile RechargE,Bills
jio,Bills
BLOodTest,Health
enTErtaiNMent apP,Entertainment
NykaasHoP,Shopping
fd deposit,Investment
UnacaDEmyApp,Education
zEe5,Entertainment
NonVegRestaurant,Food
SuBway,Food
moviE ticket bookiNg,Entertainment
ZumZumFoodOnline,Food
milk payment,Groceries
dOctor feeS,Health
vegeTable maRket,Groceries
reliantFreSh,Groceries
tailOr feEs,Shopping
exaM fEes,Education
tataCliQ,Shopping
UberMoto,Travel
dominoScenter,Food
exam registration feePayment,Education
dhAba paymenT,Food
TataPowerCeNtEr,Bills
VEgrestaUrant,Food
BsnlRecharge,Bills
FIRstCRy,Shopping
TataSky,Bills
ReliantFreshPay,Groceries
bRoaDband wIFi bILl,Bills
moBile acCessoRies,Shopping
NetMeds,Health
JIoCinemA,Entertainment
Tiffin ceNteR,Food
GoldGym,Health
ONlinEcoURsePaYmenT,Education
sent moNey to fRiend,Transfer
gAsBIlL,Bills
BlInkitCEnter,Groceries
LOcalDHabA,Food
UPiTransfer,Transfer
online SHopPing payment,Shopping
gym membeRship,Health
DtHRechaRge,Bills
iNsUranCe pRemIUmPaymeNT,Bills
vegetaBle markEt,Groceries
daily essentials,Groceries
SchoolFeesLtd,Education
diagnosTic lab,Health
GrOWw,Investment
YoGaclass,Health
GoLDGym,Health
moviE ticKeT bookingStore,Entertainment
Meesho,Shopping
INDiGo,Travel
ChaiPoint,Food
AmAzoN,Shopping
RaIlWayStaTion,Travel
NonVeGRestauRant,Food
insurance premium,Bills
StockPurchaseMart,Investment
eXAm Registration feeStore,Education
PgRentApp,Transfer
fooTwEAr shop,Shopping
HotelsaravanaMart,Food
medical storeCenter,Health
online Course paYmeNt,Education
cOnCert ticket,Entertainment
SpiceJetOnline,Travel
Subway,Food
JiocinEmaPay,Entertainment
breakFast paymenT,Food
SchoolFeEs,Education
InsurAnCePremIum,Bills
fooTweAR PAYment,Shopping
GoldGymMart,Health
PaniPuriWala,Food
ElectricityBill,Bills
MEEsho,Shopping
SteamPaymentApp,Entertainment
ApolloPharmacyCenter,Health
bus ticket,Travel
gaming paYment,Entertainment
cab boOKing app,Travel
RELiaNtFreshShoP,Groceries
PathoLOgyLaBmart,Health
HotsTar,Entertainment
ROadSideTEa,Food
Cab Booking aPPPvt,Travel
yoGa clASS,Health
wIfiPayment,Bills
NetFliX,Entertainment
gas bill,Bills
ZumZUmFood,Food
YogaClAss,Health
study bOoks purchase,Education
wIFi PayMent,Bills
NetmedsPayment,Health
tAtacLiq,Shopping
SwiggySTore,Food
RailwayStationMart,Travel
irctcShoP,Travel
Grofers,Groceries
daily essentialsLtd,Groceries
ARcadegamEApp,Entertainment
rent payment landlord,Transfer
strEamINg subscripTion,Entertainment
ArcadeGameLtd,Entertainment
YogaClassApp,Health
MuTTonShop,Food
JiO,Bills
fd DePosiT baNkOnLine,Investment
rapido,Travel
IndianOIl,Travel
ott subscription,Entertainment
gaS cyliNdEr boOKInG,Bills
FootwearStorePay,Shopping
eLectricity boaRD,Bills
MedPLusPAy,Health
RdDeposit,Investment
apollOpharmacyStore,Health
Byju,Education
OnlineCouRse,Education
group payment,Transfer
mobiLeShoP,Shopping
KFCMart,Food
CabPaymentPay,Travel
MUtuaLFund,Investment
UberMOtO,Travel
train ticket irctc,Travel
nyKAA,Shopping
resTauraNt PAymentPvt,Food
vodAFONeLtd,Bills
CollegeFeesPvt,Education
PersonaLTrANsfER,Transfer
utility bill pAYment,Bills
college fees,Education
matariBReakfAsT,Food
utility biLl paYment,Bills
GroFers,Groceries
ReliantFresh,Groceries
PGrEnT,Transfer
MovieTicketShop,Entertainment
inSuraNce premium paYmEnT,Investment
MObileRecharge,Bills
ChickenShop,Food
MoreSupermarket,Groceries
exam fees,Education
nps contrIBuTioN,Investment
DoctorCOnsUlTation,Health
elecTronics store,Shopping
ConcerttIcKetStorE,Entertainment
UNaCademyApp,Education
ZEroDha,Investment
ExamFeesCenter,Education
SNapdeal,Shopping
JewelleryStore,Shopping
ProvisionsShoppay,Groceries
VegetabLeVEnDOr,Groceries
mspoorna ArogyA,Health
fOoTwEarsTore,Shopping
PvR,Entertainment
StudYMaterialPay,Education
gOld InvestmEntPay,Investment
DailyNeedS,Groceries
DoctOrCONSuLtaTION,Health
RoaDSIdeTea,Food
CultFiT,Health
SwigyinstamaRt,Groceries
BloodTEst,Health
FoodStall,Food
Jiocinema,Entertainment
gym fees,Health
Inox,Entertainment
TraintiCkeTPvt,Travel
AirINdia,Travel
ZeE5PAyment,Entertainment
GasbiLl,Bills
PatHoLoGyLab,Health
hospital billstoRe,Health
CafeCoffeeDayPvt,Food
NpsCoNtribuTion,Investment
LoanEmiPvt,Bills
docToR fEEs,Health
PracToLtd,Health
VedAntulivE,Education
rd depOSit,Investment
ZOmatO,Food
PostPaidBiLl,Bills
LICPremium,Investment
indIGo,Travel
RentPaymEnt,Transfer
auto payment,Travel
Amazon,Shopping
poStpaidBilL,Bills
JiOMart,Groceries
MediCaLStore,Health
InSurance premiuM payment,Investment
MetroCard,Travel
FriEndPayMeNt,Transfer
petRoLPuMp,Travel
BreaDomelette,Food
DailyNeeds,Groceries
UnacademyAppMart,Education
clothEs purchase,Shopping
StarBuCks,Food
bankTRanSFer,Transfer
gaminG pAymeNt,Entertainment
MedicalStore,Health
LocalKiranaApp,Groceries
vegetable market,Groceries
Nykaa,Shopping
WifiPaymentLtd,Bills
zee5,Entertainment
AirportPaymeNt,Travel
FOotWearStore,Shopping
Hppetrol,Travel
KfC,Food
ArcadeGame,Entertainment
pizzaHUtOnLiNE,Food
AirtEL,Bills
BloODTEst,Health
inSurAnce premium PaymeNtApP,Investment
bIke riDe payment,Travel
ElectRicitYBIll,Bills
FurnitureShOppay,Shopping
ApoLloPharmacy,Health
Blinkit,Groceries
UDEmy,Education
stReet foOd paymenTltd,Food
MilkBoothLtd,Groceries
lenskArt,Health
SnApdealpAyment,Shopping
chiCkEnShOp,Food
broaDbandbilL,Bills
pharmacy payment,Health
exam RegIsTration Fee,Education
YoutubePremium,Entertainment
ArcadEGame,Entertainment
FamilyTransfer,Transfer
online ShopPinG PaymeNt,Shopping
gym feEs,Health
McDonAldsPvT,Food
TiffiNService,Food
BaNKtransFer,Transfer
STuDymaterial,Education
sTuDy Material,Education
waterbILl,Bills
CreditCardBill,Bills
scHooL fees,Education
JuiceShOpPaymenT,Food
proVisionsShop,Groceries
LoAnEMiPAyment,Bills
online cOUrse,Education
Split bilL paYMent,Transfer
NEtFLixstore,Entertainment
IcecreaMParlOuR,Food
GOIbibo,Travel
Tatacliq,Shopping
dth recharge,Bills
NPsCoNtribution,Investment
spliT biLl paymenTstore,Transfer
personal upi transfer,Transfer
MobileShop,Shopping
GrofeRs,Groceries
Ekart,Shopping
CHickenShoPPvT,Food
tuItionFeEs,Education
CourseRa,Education
McDonaldsApp,Food
grofersLtd,Groceries
personal transfer,Transfer
tailorPayment,Shopping
JiocInEmA,Entertainment
sEnt moNeY to FRiEnd,Transfer
electricity boardStore,Bills
Zerodha,Investment
TAtaSkyltd,Bills
music app,Entertainment
IrctcShop,Travel
HospitalBILl,Health
sent MOney To friend,Transfer
breakfast shop,Food
DomiNos,Food
stock market investmentPayment,Investment
Train ticket IRctcCEnter,Travel
sabji MarkEt,Groceries
PersonalTransfer,Transfer
brEakfaSt shop,Food
SubWay,Food
Netmeds,Health
inSuranCe premIum,Bills
MoneyREtUrN,Transfer
AjioLtd,Shopping
SipPAYmEnt,Investment
study material,Education
ArcadeGaMe,Entertainment
parkiNg charges,Travel
InOxApP,Entertainment
npscontribUTioNOnline,Investment
VEdantuLiVe,Education
kiranaStorEPAymenT,Groceries
Sent money to friend,Transfer
split bill payment,Transfer
college tuiTion feEs,Education
bakerY sHop,Food
MsPoorna Arogya,Health
MUtTonShoP,Food
TaTAsky,Bills
milk DeliveRyShoP,Groceries
PAthoLogyLab,Health
MutualFund,Investment
DocTor feeS,Health
BsnLRECharge,Bills
BreaDOmelETtEPay,Food
trAin booking,Travel
ClOThesShopPaYmenT,Shopping
geNeRAlStorePaY,Groceries
SchoolFEEs,Education
zerOdha,Investment
hITEcHChai,Food
mobile accessories,Shopping
stOCk marKet investMeNt,Investment
ricestOre,Groceries
StarbucksShop,Food
BreadOmeletteCenter,Food
AirportPaymeNtPaymEnt,Travel
Split bill,Transfer
food delivEry aPp,Food
mEdIcine pURCHase,Health
VegetableVendorMart,Groceries
rddePosIt,Investment
swiGgY,Food
electricity board,Bills
insurance premium paymentCenter,Investment
BigBasketLtd,Groceries
FlipkartShop,Shopping
oLa,Travel
SentMoNey,Transfer
JIo,Bills
StOcKPurchaSe,Investment
diagnostic lab,Health
amusement park,Entertainment
AmazonPrimePvt,Entertainment
AutoRickshaw,Travel
caB fare,Travel
Indigo,Travel
study bOokS purchase,Education
money REturNed,Transfer
BReadOmelette,Food
nyKaa,Shopping
BookMyShow,Entertainment
hOstel fees,Transfer
musIc App,Entertainment
TailorPaymentOnline,Shopping
wateRbIll,Bills
SnapdealLtd,Shopping
chai shop,Food
vegetable marketLtd,Groceries
BreadOmelette,Food
LoaN pAYment,Bills
AirportPaymentCenter,Travel
tatasky,Bills
concert ticket,Entertainment
JiocInema,Entertainment
lANdlordReNT,Transfer
MyntraShop,Shopping
BankTransferStore,Transfer
JuiceShop,Food
riceStorEpVt,Groceries
ColLeGEFees,Education
SpOtiFy,Entertainment
CAnteenFood,Food
NetmEds,Health
CreditCaRdBill,Bills
PanipUrIWalaApp,Food
diagNostIc lab,Health
sPiceJeTLTd,Travel
RedBuS,Travel
sweet shop,Food
AirpoRtPayment,Travel
foOdStAlL,Food
byjuPaYment,Education
ChOwmeinStaLl,Food
UPstOx,Investment
MedicalStoRe,Health
Uber,Travel
mONEY retuRned,Transfer
clinic payment,Health
ott subscriptIon,Entertainment
DAIlyNeedsPAy,Groceries
rent payment landlordOnline,Transfer
ParkingFee,Travel
gold investment,Investment
pharmaCy pAyMent,Health
mEal order online,Food
bookmySHow,Entertainment
ZOmato,Food
RoadSideTea,Food
ConcertTicket,Entertainment
mobilE recharge,Bills
DthRechargePvt,Bills
electrONiCs puRChase,Shopping
GRoupPayMent,Transfer
GroupPaymENt,Transfer
online course PayMent,Education
lunch orDer,Food
auto fare upiShop,Travel
FdBookingpay,Investment
ProvisionsShop,Groceries
ExaMFees,Education
garment store,Shopping
MoNeyRetUrn,Transfer
GamePurchase,Entertainment
train booking,Travel
examFees,Education
fD Deposit Bank,Investment
petrolPuMpPayment,Travel
SOnyLiv,Entertainment
Personal upi traNsFerApP,Transfer
sipPaymenTpaY,Investment
streaming subscriptionOnline,Entertainment
PgRentmart,Transfer
UniversityFees,Education
wifipaymeNtOnliNe,Bills
YoutuBeprEmIuM,Entertainment
Pvr,Entertainment
CoachIng instITutE,Education
MoneyReturNcenteR,Transfer
GroupPayment,Transfer
TuItionfeesShOp,Education
tuitiOn Payment,Education
SchooLFeesshop,Education
PpFDeposiT,Investment
LandlordRent,Transfer
MutuAL fund sip,Investment
FriendPaYment,Transfer
insurance emi,Bills
flight bookIng,Travel
HosPitAlBill,Health
bookmySHOwPvT,Entertainment
utility bill paymentLtd,Bills
WatcHShop,Shopping
PLayStationStOre,Entertainment
clothes purchasePvt,Shopping
SpeNcerretail,Groceries
CoAchingCeNTer,Education
milk deLivEry,Groceries
ElectronicsStore,Shopping
BigbasKet,Groceries
garmenTStore,Shopping
CourserA,Education
PhaRmEaSYapp,Health
clothes shop,Shopping
personal uPi transfer,Transfer
SnapDeal,Shopping
mataRiBrEAkfASt,Food
electrIcity boArdshop,Bills
JEweLlerySTore,Shopping
cOachiNgCEnter,Education
CultFitPvt,Health
HospitaL bill,Health
GoldbonD,Investment
gym membershipApp,Health
Gas cylindER booking,Bills
Food delivery apP,Food
RailwaYStAtiON,Travel
HospitalBill,Health
Medical store,Health
RailWaystatioNPaY,Travel
MedPluS,Health
fuEl pAyMent,Travel
LiBraryFeesLtd,Education
broadband wifi bill,Bills
bookMyShow,Entertainment
entertainment app,Entertainment
SpoTifYPaY,Entertainment
BroadbandBill,Bills
lunch order,Food
gaming payment,Entertainment
PlayStatioNStoREPvt,Entertainment
MataRiBreakfAsTLtD,Food
MsPoorNA Arogya,Health
BIke rIde payment,Travel
TatacliqPvt,Shopping
GrofersCenter,Groceries
BigBaSket,Groceries
wAterbill,Bills
HealthKartShop,Health
ChOwmeinStAll,Food
MeSsPaYment,Food
DmaRT,Groceries
Subwaycenter,Food
ElectricITy BoaRd,Bills
breakfast shopShop,Food
STockpurchASeSHop,Investment
ToLlpaYMENT,Travel
MakEMyTRIp,Travel
fuel station payment,Travel
RailwayStation,Travel
mobIle aCceSsorieSPvt,Shopping
RdDEposiT,Investment
grocery store PaYment,Groceries
ZeptoApp,Groceries
ppfdEpoSit,Investment
SoNYLiv,Entertainment
DailyNeedsApp,Groceries
rentPAYment,Transfer
MobileShoP,Shopping
DhaBaExpress,Food
mCDonAlds,Food
milk delivery,Groceries
BlinkitLtd,Groceries
FIRstCry,Shopping
TollPAymenT,Travel
jUiceSHop,Food
MedPLus,Health
restaurant paymentCenter,Food
DoctORCoNsulTation,Health
JioMaRT,Groceries
doctor feesCenter,Health
Indianoilapp,Travel
OTT pLAtForm SuBsCriptIon,Entertainment
Redbus,Travel
eLEctriCity board,Bills
StudyMaterial,Education
GoldBondPay,Investment
meesho,Shopping
nps contribution,Investment
DenTAlCliNic,Health
AIrIndIa,Travel
mobilerecHARgE,Bills
ChoWmeinstaLl,Food
MutTonShop,Food
dhaba payment,Food
gAmIng payment,Entertainment
AirPOrTPAyment,Travel
ConcertTicketStore,Entertainment
PpfDEpOsitpvt,Investment
GeneralStore,Groceries
JewElleRySTOreShop,Shopping
grouPPaYmenTapp,Transfer
mobile recharge,Bills
MobIle RechargE,Bills
GrouppaymeNt,Transfer
snacks stall,Food
MOreSUpermaRkeTApP,Groceries
food delivery app,Food
PizzaHutCenter,Food
HEalthKarT,Health
ClothesShopStore,Shopping
ZErodhA,Investment
SipPaymentShop,Investment
seNt to frIend,Transfer
peRSonAltRansfer,Transfer
ZumzUmFoodpAy,Food
FamilyTRansfeRltd,Transfer
JioPay,Bills
JewelleryStorePvt,Shopping
RentPaymentPayment,Transfer
HeaLtHKart,Health
street food paymenT,Food
McDonaldS,Food
PetrOlPump,Travel
Netflix,Entertainment
parkingFee,Travel
collEgE tuition fees,Education
VegReSTauRant,Food
AyurvedaShop,Health
kFC,Food
SonyLiv,Entertainment
STockpurchAse,Investment
KiranaStore,Groceries
mutual fund sip,Investment
BloodTestLtd,Health
CoachingCenterMart,Education
Auto PaYmEnT,Travel
JewellerYStOre,Shopping
tuition payment,Education
arcAdeGAme,Entertainment
tatASky,Bills
JuiceShopOnline,Food
INsurancePremIum,Bills
COnceRTTicket,Entertainment
PpfDepositApp,Investment
FootwearStore,Shopping
SwigyInstamArT,Groceries
NykaaLtd,Shopping
sWEet shop,Food
phArmacy pAyment,Health
PharmEasyMart,Health
OLa,Travel
KFc,Food
UpiTransfer,Transfer
meeShOPaymenT,Shopping
MIlk DeliverY,Groceries
SpIcejeT,Travel
TataSkY,Bills
VedantuLive,Education
paRkIngFeE,Travel
MsPoorna ArogyaApp,Health
MONey retUrned,Transfer
fdBOoKINg,Investment
UberMotoApp,Travel
Practo,Health
ReCeivedmONeY,Transfer
supermarket bill,Groceries
TiffinServiceStore,Food
rice purchase,Groceries
medical stORe,Health
VegetablEVeNdORApp,Groceries
MOneyReturn,Transfer
ZuMzuMFOOd,Food
GolDbond,Investment
BHaratPetrOlPvt,Travel
librAryfees,Education
AjIo,Shopping
foodStall,Food
amUSement PArk,Entertainment
insuRanCe preMiUm,Bills
Group paymenT,Transfer
ReliaNtFresh,Groceries
GeneralstOre,Groceries
online course paymentPvt,Education
hospital bill,Health
GrowwApp,Investment
MIlkBooth,Groceries
